1608381332.76,66.2,20.0
1608381416.61,66.2,20.0
1608381492.87,66.2,20.0
1608381567.21,66.2,20.0
1608381645.12,66.2,19.85
1608381731.51,66.2,19.5
1608381815.35,66.2,20.0
1608381891.62,66.2,19.95
1608381975.71,66.2,19.75
1608382049.47,66.2,20.45
1608382120.7,66.2,21.0
1608382199.5,66.2,20.95
1608382270.78,67.1,20.15
1608382349.79,68.0,20.0
1608382421.0,68.0,19.5
1608382499.8,68.18,19.1
1608382578.57,68.36,18.5
1608382649.78,68.0,18.0
1608382728.56,68.0,18.0
1608382812.42,68.0,18.8
1608382888.73,67.82,19.0
1608382970.06,66.56,19.0
1608383048.89,66.2,19.0
1608383127.74,66.2,19.0
1608383198.96,66.2,19.0
1608383280.36,66.2,19.0
1608383356.66,66.2,19.05
1608383438.04,66.2,19.05
1608383516.83,66.2,19.0
1608383600.66,66.2,19.0
1608383674.39,66.2,19.1
1608383755.71,66.2,20.7
1608383834.5,66.2,20.4
1608383910.76,67.46,20.0
1608383987.06,68.0,19.9
1608384065.83,68.0,19.1
1608384147.54,68.0,19.0
1608384223.78,68.0,18.15
1608384297.52,68.0,18.0
1608384370.65,68.0,18.0
1608384454.51,68.0,18.05
1608384530.78,67.91,18.05
1608384609.62,66.74,18.7
1608384681.01,66.2,19.0
1608384752.22,66.2,19.0
1608384833.56,66.2,19.0
1608384909.88,66.2,19.0
1608384981.22,66.2,19.0
1608385060.02,66.2,19.0
1608385151.51,66.2,19.0
1608385240.42,66.2,19.0
1608385319.22,66.2,19.1
1608385400.53,66.2,19.0
1608385481.86,66.2,20.2
1608385560.69,66.2,20.3
1608385639.58,67.19,20.0
1608385728.51,68.0,20.0
1608385817.41,68.0,19.2
1608385896.21,68.45,19.2
1608385969.98,68.45,18.25
1608386046.28,68.0,18.0
1608386130.13,68.0,18.1
1608386206.38,68.0,18.4
1608386285.16,68.0,18.85
1608386371.58,67.1,19.0
1608386452.94,66.2,19.0
1608386524.17,66.2,19.0
1608386595.41,66.2,19.0
1608386676.76,66.2,19.0
1608386763.14,66.2,19.0
1608386844.48,66.2,19.0
1608386923.27,66.2,19.5
1608387007.13,66.2,21.0
1608387086.29,67.37,21.0
1608387165.24,68.0,20.1
1608387237.45,68.0,20.0
1608387308.8,68.72,19.7
1608387390.18,69.8,20.0
1608387462.34,69.8,19.4
1608387541.2,69.8,19.0
1608387612.38,69.8,19.0
1608387693.7,70.52,19.35
1608387780.07,71.6,19.35
1608387861.38,71.6,19.0
1608387942.71,71.6,19.0
1608388018.97,71.6,18.9
1608388097.79,71.6,18.2
1608388179.12,71.6,18.0
1608388258.21,71.96,18.0
1608388339.52,71.6,18.0
1608388418.37,71.6,18.4
1608388507.27,71.42,18.9
1608388578.49,69.98,18.1
1608388657.31,69.8,18.05
1608388736.11,69.8,18.8
1608388809.87,69.8,19.0
1608388886.32,69.8,19.0
1608388957.55,69.8,19.0
1608389038.87,69.8,19.0
1608389117.66,69.8,19.0
1608389206.55,69.8,19.0
1608389295.47,69.8,19.3
1608389379.31,69.8,19.95
1608389455.59,69.8,19.0
1608389539.45,69.8,19.0
1608389623.34,69.8,19.0
1608389704.64,69.8,20.0
1608389783.85,69.8,19.5
1608389855.06,69.8,19.0
1608389933.82,70.88,19.55
1608390012.62,71.6,19.1
1608390094.17,71.6,19.0
1608390183.08,71.6,18.95
1608390254.26,72.95,18.1
1608390333.07,73.4,18.0
1608390411.88,73.4,18.0
1608390483.92,72.32,18.0
1608390557.63,71.6,18.0
1608390639.72,71.6,18.55
1608390728.91,71.6,18.95
1608390801.18,71.6,19.0
1608390878.82,70.79,18.55
1608390957.61,70.07,18.5
1608391036.4,69.8,18.6
1608391108.37,69.8,18.9
1608391185.62,69.8,18.9
1608391262.05,69.8,19.0
1608391333.24,69.8,19.0
1608391412.16,69.8,19.0
1608391486.74,69.8,19.0
1608391568.04,69.8,19.0
1608391644.36,69.8,19.0
1608391728.19,69.8,19.0
1608391807.0,69.8,19.15
1608391883.26,69.8,19.55
1608391954.81,69.8,20.0
1608392032.2,69.8,20.0
1608392108.5,69.8,20.0
1608392180.01,69.8,20.0
1608392262.14,69.8,20.0
1608392339.22,69.8,20.0
1608392421.8,69.8,20.0
1608392500.59,69.62,19.9
1608392579.38,68.63,19.35
1608392650.8,68.81,19.45
1608392729.59,68.54,19.3
1608392801.11,68.09,19.05
1608392885.41,68.0,19.0
1608392970.09,68.0,19.0
1608393047.19,68.0,19.0
1608393125.0,68.0,19.0
1608393196.68,68.0,19.0
1608393275.85,68.0,19.0
1608393361.37,68.0,19.2
1608393435.71,68.0,19.9
1608393514.07,68.9,21.5
1608393602.53,69.8,21.45
1608393674.72,69.8,20.75
1608393752.81,70.79,20.55
1608393834.32,71.6,20.5
1608393915.66,71.6,19.45
1608393989.44,70.34,19.05
1608394076.01,69.8,19.0
1608394157.34,69.8,19.0
1608394231.04,69.8,19.25
1608394314.98,69.8,20.0
